id,country,region,name,vintage,retailer,price,comment,blend,vg_rating,entry_dt,amend_dt,url
3,Germany,Pfalz,"Johann Wolf Pinot Noir
",2017,Waitrose,£9.99,,Pinot noir,3.5,01/01/2020,03/02/2020,
5,Spain,Rioja,"Baron de las Vinas
",2010,Aldi,£9.99,,Tempranillo,3.5,01/01/2020,03/02/2020,
6,France,Auvergne,"Puy de Dome
",2016,The Wine Society,£7.90,,Pinot noir,3.9,01/01/2020,03/02/2020,
7,Spain,Catalunya,"Torres Coronas Tempranillo
",2016,Waitrose,£7.50,,Tempranillo,3.5,01/01/2020,03/02/2020,
8,Spain,Utiel Requena,"Toro Loco Organic
",2018,Aldi,£4.99,,Bobal blend,3.5,01/01/2020,03/02/2020,
9,Italy,Sicily,The Fire Tree Sicilian Nero D'Avola,2018,Aldi,£4.49,,Nero D'Avola,3.5,01/01/2020,,
10,Australia,South Australia,Barossa Shiraz Reserve,2018,Waitrose,£11.99,,Shiraz,3.5,01/01/2020,,
11,Italy,Emilia Romagna,Dino,2016,Tesco,£5.75,,Sangiovese,3.0,01/01/2020,,
12,Portugal,Duoro,Gloria Reserva Douro,2017,Aldi,£7.29,,Tinta Roriz/Touriga Franca/Touriga Nacional,3.5,01/01/2020,,
13,Italy,Veneto,Masi Campofiorin Rosso del Veronese,2015,Waitrose,£9.74,was £12.99,Corvina/Rondinella,3.0,01/01/2020,,
14,Spain,Rioja,"Navajas Crianza Rioja
",2015,The Wine Society,£8.95,,Tempranillo,3.7,01/01/2020,03/02/2020,
15,Spain,Calatayud,Cruz de Piedra Garnacha,2017,The Wine Society,£6.50,,Grenache,4.0,01/01/2020,,
16,Spain,Rioja,Vina Lorea Rioja,2015,Waitrose,£8.99,,Tempranillo,3.0,01/01/2020,,
17,Spain,Valencia,Parcelas Ecológico Monastrell Yecla,2017,The Wine Society,£7.50,,Monastrell,4.0,01/01/2020,,
18,Italy,Sicily,Nero Oro Riserva,2016,Majestic,£14.99,£11.99 if you buy 6,Nero D'Avola,4.5,01/01/2020,,
19,Chile,Valle Central,Lascar Classic,2018,The Wine Society,£5.95,,Carmenere,3.0,01/01/2020,,
20,France,Cotes du Rhone,Rive droite rive gauche,2018,The Wine Society,£8.50,,Grenache/Syrah,3.0,01/01/2020,,
21,Italy,Puglia,"Di Marco Primitivo
",2018,Tesco,£6.50,was £8.00,Primitivo,1.5,01/01/2020,2020-01-24,
22,Italy,Veneto,"Baccolo
",2017,The Wine Society,£6.50,,Merlot/Corvina,3.5,01/01/2020,2020-01-22,
23,Italy,Puglia,Terre di Faiano,2018,Waitrose,£7.50,was £9.99,Primitivo,4.5,01/01/2020,,
24,Italy,Abruzzo,Montidori Sangiovese,2018,Waitrose,£7.50,was £9.99,Sangiovese,4.0,01/01/2020,,
25,France,Bordeaux,"Château Lamothe Saint Germain
",2017,The Wine Society,£6.95,,Merlot,3.6,01/01/2020,03/02/2020,
26,France,Languedoc,"Domaine Laborie
",2018,The Wine Society,£6.50,,Carignan/Grenache/Merlot,3.5,01/01/2020,03/02/2020,
27,Italy,Barolo,"Barolo DOCG Terre da Vino
",2015,Waitrose,£18.99,shocking for the price,Nebbiolo,3.0,2020-01-24,2020-01-24,https://www.waitrosecellar.com/all-wines/barolo-docg-terre-da-vino-813115
28,Spain,Rioja,"El Somo
",2014,Aldi,£12.99,,Tempranillo,4.0,24/01/2020,,
29,France,Bordeaux,"Cour de Mandelotte
",2015,,,,,3.5,23/02/2020,11/03/2020,
30,Italy,Puglia,"Grande Alberone
",2017,Aldi,£7.99,,Zinfandel,4.0,23/02/2020,,
31,Argentina,Patagonia,Vinalba,2018,Asda,£10,,Malbec/Syrah,3.7,12/03/2020,,
32,Argentina,Argentina,Finca Las Moras,2019,Coop,£7,crap,Shiraz,3.0,12/03/2020,,
33,Spain,Rioja,Urbina,2004,The Wine Society,£19.00,Had at Niki Ip's £40,Tempranillo,3.8,16/03/2020,16/03/2020,https://www.thewinesociety.com/shop/productdetail.aspx?section=pd&pl=ZBX&pd=SP14321&pc=&prl=
34,Italy,Sicily,Inycon,2018,Waitrose,£7.99,,Shiraz,3.6,19/03/2020,,
35,Spain,Rioja,Baron de Ley Club Privado,2017,Waitrose,£7.99,from £10.50,Tempranillo,3.7,12/04/2020,,
36,Spain,Rioja,Beronia Rioja Crianza,2017,Waitrose,£7.80,from £11.80,Tempranillio/Garnacha/Mazuelo,3.6,12/04/2020,,
